The Upside of Down|Chris August
忽然之间|莫文蔚
一百万个可能|Christine Welch
暗里着迷 (粤)|刘德华
好嗨哦|陈逗逗
Psycho (Pt. 2)|Russ
残酷月光|林宥嘉
我怀念的|孙燕姿
Crush|Tessa Violet
借我|谢春花
Up&Up (Radio Edit)|Coldplay
梦一场|萧敬腾
Tik Tok|Eliane
PLANET|ラムジ
Love In A Box|The Workday Release
还是觉得你最好|张学友
可能否|木小雅
Missin' You Like Crazy|Us The Duo
Hey Jude|Kina Grannis/Imaginary Future
Better Together|Us The Duo
好嗨哟|芒果食堂
Young And Beautiful - (电影《了不起的盖茨比》插曲)|Lana Del Rey
爱着爱着就永远|田馥甄
小幸运 - (电影《我的少女时代》主题曲)|田馥甄
遇萤（橙光游戏《遇龙》主题曲）|CRITTY
Something Just Like This|Romy Wave/Anthony Keyrouz
说散就散 - (电影《前任3：再见前任》主题曲)|袁娅维
风筝误|刘珂矣
你给我听好|陈奕迅
我想|麦小兜
天若有情 - (电影《天若有情》插曲)|袁凤瑛
我从崖边跌落|谢春花
终于明白 - (电视剧《仙剑奇侠传》片尾曲)|动力火车
参商(纯歌版)|不才
Such a Fool|George Nozuka
大鱼 - (动画电影《大鱼海棠》印象曲)|周深
This I Promise You|Ronan Keating
Here With You|Asher Book
Revolution|The Score
Better Than One|The Score
浪费|林宥嘉
春风十里|鹿先森乐队
What Are Words|Chris Medina
Ce Frumosa E Iubirea|Giulia
你就不要想起我|田馥甄
Beautiful In White (Demo)|Westlife
Can't Stop Love|Darin
情歌 (cover梁静茹)|简弘亦
不染 - (电视剧《香蜜沉沉烬如霜》主题曲)|毛不易
Closer To Me|Megan & Liz
Breathless|Shayne Ward
Say Goodnight|Rico Davis
最佳损友|陈奕迅
Until You|Shayne Ward
Stupid|Tone Damli Aaberge
Road Trippin'|Dan + Shay
下一秒 - (电视剧《微微一笑很倾城》插曲)|张碧晨
Good Day|Lucky Stroke
不找了|郭旭
One Day (Album Version)|Emblem3
Echo|Jason Walker
Everything Falls|Fee
我是真的爱你|李宗盛
恶作剧|王蓝茵
Talk|Kodaline
Chasing The Wind|Josiah James
倔强|五月天
Chasing All the Stars|Fleurie
难念的经 - (1997年TVB版电视剧《天龙八部》片头曲)|周华健
Moving On|Kodaline
You Got It All|The Vamps/Union J
逍遥叹 - (《仙剑奇侠传》 插曲)|胡歌
孤单心事 - (《终极一班》插曲)|蓝又时
思念是一种病|蔡健雅/张震岳
Downhill|Hyland
知足|五月天
红昭愿|音阙诗听
靠近一点点 - (湘琴之《越挫越勇》主题曲)|梁心颐
爱不单行 - (偶像剧《海派甜心》插曲)|罗志祥
Supermarket Flowers|Ed Sheeran
Insecurity|Scars On 45
Innocence|Avril Lavigne
答案|杨坤/郭采洁
Last Prayer|We Shot the Moon
Bila|Candy
Wait For You|Elliott Yamin
积雨云 - (第三十五届政大金旋奖主题曲 / Rain Clouds)|郑兴
Prettiest Friend (Demo)|Jason Mraz
Better in Time|Leona Lewis
Where Did You Go|Reagan James
Best Of Me|Daniel Powter
Dealbreaker|Rachael Yamagata
Better With You|Kris Allen
Black Mascara|Eliane
Why We Try|Chelsea Lankes/Matthew Mayfield
Good Morning, Beautiful|Luke McMaster
Snow Globe|Matt Wertz
Back At One|Brian McKnight
Wasted|Brandi Carlile
爱与痛的边缘|王菲
Everglow|Gwyneth Paltrow/Coldplay
Halo|Lotte Kestner
佛系少女|冯提莫
喜欢|阿肆
还是会 - (偶像剧《我可能不会爱你》片头曲)|韦礼安
Photograph|Ed Sheeran
我在那一角落患过伤风 - (步步高音乐手机广告曲)|冯曦妤
白羊|徐秉龙/沈以诚
沙龙|陈奕迅
不仅仅是喜欢|萧全/孙语赛
Been A Long Day|Rosi Golan
Lost & Far From Home|Katie Costello
Seven Days|Mark Medlock
冷雨夜|Beyond
一路上有你|张学友
男孩|梁博/陶孟童/肖和东/高誉容
离人愁|李袁杰
摩天大楼|薛之谦
Remember The Name|Styles of Beyond/Fort Minor
平凡之路(电影版)|朴树
My Prayer|Devotion
Inside Her Eyes|Lauren Strahm
梦伴|李悦君Ericaceae
起风了|买辣椒也用券
最美的期待|周笔畅
Skinny Love|Birdy
Volcano|Emily Hearn
Free To Be Me|Haroula Rose
哭砂|张惠妹
Jailbreak|AWOLNATION
Part of a Fool|Juwita Suwito
Cruisin|Sioen
Spell|Marié Digby
4th Of July|Joanna
When You're Gone (Acoustic Version)|Avril Lavigne
Alone Again|Alyssa Reid
You Are Not Alone|Frida Amundsen
逆光|孙燕姿
说谎|林宥嘉
温柔|五月天
Can't Complain|Relient K
Down|Jason Walker
Lucky|Lenka
Way Back Into Love (Demo)|Hugh Grant/Drew Barrymore
胆小鬼|梁咏琪
Sunrise|Shannon Hurley
Oh Father|Bodhi Jones
不爱我|陈僖仪
With You All The Time|Gareth Gates
外面的世界|莫文蔚
Thank You - (不插电版)|Dido
全世界谁倾听你  - (电影《从你的全世界路过》插曲)|林宥嘉
阴天快乐|陈奕迅
Sleepyhead (Midnight Version)|Galen Crew/Midnight
不将就 - (电影《何以笙箫默》片尾主题曲)|李荣浩
阴天|莫文蔚
蜚蜚|陈僖仪
Sleep Must Heal the Heart|Molly Marlette
We Can't Stop|Bea Miller/Boyce Avenue
Try - (《名扬四海》插曲)|Asher Monroe
化身孤岛的鲸|不才
失恋|草蜢
The Show|Lenka
献世|陈小春
Angel - (《天使之城》插曲)|Sarah McLachlan
Flightless Bird, American Mouth - (《暮光之城》插曲)|Iron & Wine
This Time Tomorrow|Trent Dabbs
贝加尔湖畔|李健
成都|赵雷
Shutterbug|Glenna
Falling Awake - Original|Gary Jules
Sunny Day|Joy Williams
七月上|Jam
Up All Night|Best Coast
Oceanside|Lainey Lou
Leave The Light On|Priscilla Ahn
The Heart of Life|John Mayer
心碎(粤)|易欣
第十一年|语奕儿
你的样子|林志炫
I Need a Love|Lainey Wright
Going Home (Album Version)|Sophie Zelmani
爱得太迟|古巨基
Always Will Be|Raining and OK
追光者 - (电视剧《夏至未至》插曲)|岑宁儿
We Are Young|Janelle Monáe/Fun.
叶子|阿桑
Amani|Beyond
无赖|郑中基
失恋阵线联盟|草蜢
阁楼|陈慧琳
倩女幽魂 - (电影《倩女幽魂》主题曲)|张国荣
风继续吹|张国荣
一生所爱 (One Take Raw Demo)|卢冠廷
Counting Stars|Kurt Hugo Schneider/Chrissy Costanza/Alex Goot
Baby It's You|Arden Cho
Light of the World|Starfield
It's So Easy (1977)|Linda Ronstadt
Cocoon|Jack Johnson
Pack Up Your Troubles in Your Old Kit Bag|Minnutes
I Just Wanna Run|Kait Weston
Glad You Came|Boyce Avenue
Blue Tattoo|Leddra Chapman
We're Good People But Why Don't We Show It?|Holly Throsby
When You Say Nothing at All - (电影《新娘百分百》插曲)|Ronan Keating
When You Say Nothing At All|Alison Krauss
The Hardest Thing|Julia Sheer
Promises Don't Come Easy - (无线电视剧《无业楼民》插曲)|Caron Nightingale
如果的事|张韶涵/范玮琪
In Between The Lines|Tyrone Wells
Traveling Light|Joel Hanson
I Am You|Kim Taylor
I Love You|Stewart Mac
Let It Out|Frances
We Don't Talk Anymore|Selena Gomez/Charlie Puth
美|王力宏
Drive|Oh Wonder
Tennis Elbow|Sky Sailing
Please Don't Go|Joel Adams
Stronger|Kelly Clarkson
Because of You|Kelly Clarkson
One Love|Blue
Fairy Tale|Toni Braxton
Hero|Mariah Carey
悟空|戴荃
I'm Sorry|Monta
Journey|张韶涵
Say Hello|Sufjan Stevens/Rosie Thomas
Stuck On You|Meiko
How To Break A Heart|Julian Moon
John Ryan's Polka|Ballycastle
Blind Tom|Grant-Lee Phillips
